,x,y,,,,,
1,294.8829267,-0.655979959,,,,,
2,344.6365052,18.16133729,,,,,
3,365.8082407,3.376302308,,,,,
4,383.4513537,10.54480412,,,,,
5,412.0331967,39.66684271,,,,,
6,420.8547532,84.02194765,,,,,
7,386.9799763,135.5455544,,,,,
8,364.0439294,182.1408161,,,,,
9,306.1745189,249.793552,,,,,
10,275.4755024,272.1951201,,,,,
11,241.9535878,272.6431515,,,,,
12,242.3064501,273.0911828,,,,,
13,222.5461635,263.2344928,,,,,
14,161.853855,232.3203288,,,,,
15,130.8019762,220.6715134,,,,,
16,81.04839764,201.8541961,,,,,
17,45.05644721,182.1408161,,,,,
18,10.82880808,134.6494917,,,,,
19,-3.285682283,95.22273172,,,,,
20,11.88739486,89.398324,,,,,
21,31.64768137,70.58100676,,,,,
22,82.10698442,46.38731316,,,,,
23,114.9231745,47.28337588,,,,,
24,156.2080588,33.84243499,,,,,
25,216.9003674,25.32983909,,,,,
26,265.2424969,11.8888982,,,,,
27,279.004125,-4.240230863,,,,,
,,,,,,,
